Number,Card,Final Map Code,Primary Map Anchor,Anchor Type,Discovery Zone,Bible Era,Journey Trail ID,Journey Trail,Scripture
1,Abraham,N-03,Haran,Printed marker,Empires of the East,2 - Patriarchs,JT-01,Abraham's Journey,Genesis 11:31-12:9
2,Joseph,D-08,Goshen,Printed marker,Egypt & the Nile,2 - Patriarchs,JT-02,Joseph to Egypt,Genesis 37; 41-47
3,Moses,H-10,Mount Sinai,Printed marker,Sinai & Wilderness,3 - Exodus,JT-03,The Exodus,Exodus 19-20; Deuteronomy 5
4,The Exodus,F-09,Red Sea crossing,Product-map event anchor,Sinai & Wilderness,3 - Exodus,JT-03,The Exodus,Exodus 12-14
5,Jericho,K-08,Jericho,Printed marker,Promised Land,4 - Conquest & Judges,JT-04,Entering the Land,Joshua 5:13-6:27
6,David,J-08,Jerusalem,Printed marker,Israel & Judah,5 - Kings & Prophets,JT-05,Kingdom Trail,2 Samuel 5:1-12
7,Daniel,P-06,Babylon,Printed marker,Empires of the East,5 - Kings & Prophets,JT-06,Exile to Babylon,Daniel 1; 6
8,Bethlehem,J-08,Bethlehem,Printed marker,World of Jesus,6 - Jesus & the Gospels,JT-07,To Bethlehem,Micah 5:2; Luke 2:1-20
9,Jesus Calms the Storm,L-06,Sea of Galilee,Product-map event anchor,World of Jesus,6 - Jesus & the Gospels,JT-08,Jesus' Ministry,Mark 4:35-41
10,Paul's Journey to Rome,B-01,Rome,Printed marker,Mediterranean Mission World,7 - Acts & the Early Church,JT-09,Voyage to Rome,Acts 27-28
